Genus,Species,LOA (mm),MSR,C,Ven,CS,SC,ST,RTL (%),Elev. (m),RM,OS
Acalyptophis,peronii,632–990,21–32,K/k,140–222,D(E),29–49,1,10.0–16.9,–100 to 0,1,1–10
Acanthophis,antarcticus,140–1150,21–23,K,110–135,E,35–60,3,12.6–20.7,10–925,1,2–42
Acanthophis,cryptamydros,165–700,22–23,K,125–139,E,46–56,3,13.0–18.3,95–395,1,6–27
Acanthophis,hawkei,130–1100,21–23,K,110–155,E,35–60,3,13.8–14.3,30–215,1,5–27
Acanthophis,laevis,130–1000,19–23,K,108–135,E,35–57,3,12.6–21.0,10–2000,1,5–15
Acanthophis,lancasteri,482–620,22–23,K,125–139,E,46–56,3,13.7–17.1,5–415,1,–
Acanthophis,praelongus,100–700,17–21,K,110–152,E,35–63,3,17.2–18.2,5–925,1,6–24
Acanthophis,pyrrhus,127–870,19–23,K,122–162,E,43–67,3,11.1–19.4,5–895,1,9–14
Acanthophis,rugosus,170–950,21–23,K,115–165,E,29–60,3,16.0–20.0,15–1500,1,6–45
Acanthophis,wellsi,120–600,17–21,K,119–143,E,41–64,3,11.1–18.8,5–925,1,8–20
Achalinus,ater,158–401,21–25,k/Kt,156–170,E,47–70,1,19.0–23.8,450–1800,0,–
Achalinus,chigirai,328–450,25–27,k/Kt,159–179,E,72–97,1,30.3–31.7,500,0,8–16
Achalinus,dabieshanensis,369–376,23,k/Kt,141–155,E,45–55,1,16.8–22.3,635–1360,0,–
Achalinus,damingensis,427,23,k/Kt,162,E,74,1,24.6,1270,0,–
Achalinus,dehuaensis,315–688,23,k/Kt,142–154,E,63–81,1,20.6–28.6,455,0,–
Achalinus,emilyae,519–951,23,k/Kt,157–161,E,56–63,1,18.3–20.3,320–400,0,–
Achalinus,formosanus,553–853,27,k/Kt,158–184,E,61–83,1,15.9–31.7,1000–1990,0,–
Achalinus,hainanus,290–310,23,k/Kt,165–168,E,67–69,1,24.8–26.6,750–800,0,–
Achalinus,huangjietangi,244–404,23,k/Kt,155–170,E,40–67,1,15.2–23.2,220–450,0,–
Achalinus,hunanensis,262–329,23,k/Kt,163–165,E,69–72,1,22.1–22.5,880–1020,0,–
